"","code","Wbcode","country","year","area1","area2","area3","computer1","computer2","computer3","computer4","computer5","computer6","delta01","delta02","delta03","delta04","delta05","delta06","delta07","delta08","delta09","delta10","delta11","delta12","delta13","delta14","delta15","delta16","delta17","delta18","delta19","delta20","delta21","delta22","delta23","delta24","delta25","delta26","delta27","delta28","delta29","delta30","delta31","delta32","delta33","delta34","delta35","domestic1","domestic2","domestic3","domestic4","domestic5","domestic6","domestic7","domestic8","domestic9","economics1","economics2","economics3","economics4","economics5","economics6","economics7","electoral1","electoral2","electoral3","electoral4","electoral5","energy1","energy2","energy3","energy4","indprod1","indprod2","indprod3","indprod4","indprod5","indprod6","industry1","industry2","industry3","industry4","industry5","instat1","instat2","instat3","instat4","instat5","instat6","instat7","instat8","legis01","legis02","legis03","legis04","legis05","legis06","legis07","legis08","legis09","legis10","mail1","mail2","mail3","mail4","media1","media2","media3","media4","media5","media6","media7","military1","military2","military3","military4","phone1","phone2","phone3","phone4","phone5","phone6","physician1","physician2","polit01","polit02","polit03","polit04","polit05","polit06","polit07","polit08","polit09","polit10","polit11","polit12","polit13","polit14","polit15","pop1","pop2","pop3","pop4","railroad1","railroad2","railroad3","railroad4","railroad5","railroad6","railroad7","revexp1","revexp2","revexp3","revexp4","revexp5","revexp6","revexp7","school01","school02","school03","school04","school05","school06","school07","school08","school09","school10","school11","school12","telegraph1","telegraph2","telegraph3","telegraph4","trade1","trade2","trade3","trade4","trade5","urban01","urban02","urban03","urban04","urban05","urban06","urban07","urban08","urban09","urban10","vehicle1","vehicle2","vehicle3","vehicle4","vehicle5","vehicle6","guerilla","overall.conflict","riots","strikes","demos","assassinations","internet","computers","radios","tvs","newspapers","landlines","mobiles","industry","oecd"
"799",61,"AUT","Austria",1919,79000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,3554,554,2973,464,900,140,2989,466,1760,2747,150,234,80,124,NA,NA,319,332,349,NA,NA,46,NA,NA,NA,NA,NA,69,159,NA,NA,NA,NA,230,NA,NA,NA,200000,31220,582597,90945,NA,NA,0,NA,NA,NA,NA,NA,NA,180,280,900,NA,900,1404,NA,1404,NA,NA,6317,1,0,1,4,1,3,3,3,13,1,1,3,2,1,6406,2135,NA,"",3852,1284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903,1409,40,62,943,1472,95,14,21,957,1493,NA,75,2500,1200,187,30947,4830,16010,2499,881,2111,329,2165,337,2295,358,2316,361,NA,NA,NA,NA,NA,NA,NA,NA,0,2500,1,0,0,1,NA,NA,NA,NA,NA,0.01404,NA,33.2,"OECD"
"800",61,"AUT","Austria",1920,79000,30000,NA,NA,NA,NA,NA,NA,NA,76,75,-60,-59,NA,NA,905,1529,794,NA,225,NA,-400,213,556,35,NA,-199,484,-177,952,643,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3752,581,2980,461,963,149,3315,513,1770,2742,200,309,120,185,NA,NA,319,333,348,14,61,50,57,2,18,1149,2,85,183,NA,NA,NA,NA,215,NA,NA,NA,217546,33701,589164,91272,NA,NA,0,NA,NA,NA,NA,NA,NA,34,52,957,NA,957,1482,NA,1482,NA,NA,6187,1,0,1,2,1,3,2,3,10,1,1,3,2,1,6455,2151,NA,"",3940,1313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,892,1381,42,65,934,1446,95,15,23,949,1470,NA,72,2400,1238,191,34000,5267,18600,2881,743,2113,327,2167,335,2298,356,2319,359,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.01482,NA,33.3,"OECD"
"801",61,"AUT","Austria",1921,79000,30000,NA,NA,NA,NA,NA,NA,NA,76,79,-61,-59,NA,NA,815,1305,725,NA,220,NA,-416,261,520,35,NA,-181,308,-159,0,537,897,NA,NA,-31,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,562,NA,NA,NA,NA,NA,NA,NA,NA,3784,581,NA,NA,1027,157,3642,559,1780,2736,290,445,230,353,NA,NA,318,333,349,NA,NA,53,NA,NA,NA,NA,NA,85,183,NA,NA,NA,NA,215,NA,NA,NA,235093,36145,595731,91594,NA,NA,0,NA,NA,NA,NA,NA,NA,33,50,1014,NA,1014,1559,NA,1559,NA,NA,6187,1,0,0,2,1,3,2,3,10,1,1,3,2,0,6504,2168,NA,"",4028,1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882,1356,44,67,926,1423,95,15,23,941,1446,NA,69,2300,1276,196,37053,5696,21190,3257,1237,2114,325,2169,333,2301,353,2322,357,NA,NA,NA,NA,NA,NA,NA,NA,0,562,1,1,0,0,NA,NA,NA,NA,NA,0.01559,NA,33.3,"OECD"
"802",61,"AUT","Austria",1922,79000,30000,NA,NA,NA,NA,NA,NA,NA,37,37,-30,-30,NA,NA,785,1182,706,NA,223,NA,-434,255,520,73,NA,-155,448,-119,435,573,859,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,1,0,1,1437,NA,NA,NA,NA,NA,NA,NA,NA,3816,584,NA,NA,1090,166,3968,607,1840,2818,480,735,270,413,NA,NA,318,333,349,NA,NA,56,NA,NA,NA,NA,NA,85,183,NA,NA,NA,NA,215,NA,NA,NA,252639,38700,602298,92263,NA,NA,0,NA,NA,NA,NA,NA,NA,32,49,1071,NA,1071,1640,NA,1640,NA,NA,6187,1,0,0,2,1,3,2,3,11,1,1,3,2,0,6528,2176,NA,"",4116,1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872,1335,46,70,918,1406,94,16,24,934,1430,NA,66,2200,1314,201,40106,6143,23780,3642,1368,2116,324,2171,332,2304,352,2325,356,NA,NA,NA,NA,NA,NA,NA,NA,0,1437,1,2,1,0,NA,NA,NA,NA,NA,0.0164,NA,33.3,"OECD"
"803",61,"AUT","Austria",1923,84000,32000,NA,NA,NA,NA,NA,NA,NA,23,-607,-30,0,NA,NA,737,1065,670,NA,-612,NA,-1054,248,518,85,NA,-734,-429,-718,-1250,602,807,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,562,NA,NA,NA,NA,NA,NA,NA,NA,3849,588,3313,506,1153,176,4295,656,1910,2919,500,764,250,382,NA,NA,318,333,349,NA,NA,60,NA,NA,NA,NA,NA,80,165,NA,NA,NA,NA,206,NA,NA,NA,270186,41293,608865,93055,NA,NA,0,NA,NA,NA,NA,NA,NA,31,47,1129,NA,1129,1725,NA,1725,NA,NA,5893,1,0,0,2,1,3,2,3,8,1,0,3,2,1,6543,2044,NA,"",4122,1288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,810,1237,44,67,854,1305,94,14,21,868,1326,NA,63,1968,1353,206,43159,6596,26370,4030,1313,2118,323,2174,332,2307,352,2329,355,NA,NA,NA,NA,NA,NA,NA,NA,0,562,1,1,0,0,NA,NA,NA,NA,NA,0.01725,NA,33.3,"OECD"
"804",61,"AUT","Austria",1924,84000,32000,NA,NA,NA,NA,NA,NA,NA,29,29,-30,-30,NA,NA,676,950,618,NA,15,NA,-472,242,475,78,NA,-776,-299,-759,-952,511,732,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,0,0,0,0,1062,NA,NA,NA,NA,NA,NA,NA,NA,3917,596,NA,NA,1216,185,4621,704,2020,3078,370,563,380,579,NA,NA,318,333,349,NA,NA,63,NA,NA,NA,NA,NA,80,165,NA,NA,NA,NA,206,NA,NA,NA,287732,43848,615432,93787,NA,NA,0,NA,NA,NA,NA,NA,NA,30,45,1186,NA,1186,1807,NA,1807,NA,NA,5893,1,0,0,2,1,3,2,3,9,1,1,3,2,0,6562,2050,NA,"",4129,1290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,749,1141,43,65,792,1206,94,13,19,805,1226,NA,60,1875,1391,211,46212,7042,28960,4413,1236,2119,322,2176,331,2310,352,2336,355,NA,NA,NA,NA,NA,NA,NA,NA,0,1062,0,2,0,1,NA,NA,NA,NA,NA,0.01807,NA,33.3,"OECD"
"805",61,"AUT","Austria",1925,84000,32000,NA,NA,NA,NA,NA,NA,NA,30,29,0,-30,NA,NA,628,861,577,NA,15,NA,-501,284,459,76,NA,-280,615,-232,0,486,668,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0,1,1250,NA,NA,NA,NA,NA,NA,NA,NA,3985,605,NA,NA,1280,194,4948,751,2140,3251,460,698,420,638,NA,NA,318,333,349,9,62,67,63,1,11,1916,1,80,165,NA,NA,NA,NA,206,NA,NA,NA,305279,46380,621999,94500,NA,NA,0,NA,NA,NA,NA,NA,NA,28,42,1244,NA,1244,1890,NA,1890,NA,NA,5893,1,0,0,2,1,3,2,3,9,0,0,3,2,0,6582,2056,NA,"",4136,1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,730,1109,46,69,776,1178,94,13,19,789,1198,NA,57,1781,1429,217,49265,7484,31550,4793,1212,2121,322,2178,330,2313,351,2343,355,NA,NA,NA,NA,NA,NA,NA,NA,0,1250,2,0,1,0,NA,NA,NA,NA,NA,0.0189,NA,33.3,"OECD"
"806",61,"AUT","Austria",1926,84000,32000,NA,NA,NA,NA,NA,NA,NA,32,34,-31,0,NA,NA,587,787,541,NA,15,NA,-527,230,2233,73,NA,-280,870,-204,1053,464,626,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,0,0,1062,NA,NA,NA,NA,NA,NA,NA,NA,4052,613,NA,NA,1343,203,5275,798,2190,3316,470,711,430,651,NA,NA,318,333,349,NA,NA,67,NA,NA,NA,NA,NA,80,165,NA,NA,NA,NA,206,NA,NA,NA,322825,48890,628566,95194,NA,NA,0,NA,NA,NA,NA,NA,NA,26,39,1527,NA,1527,2312,NA,2312,NA,NA,5893,1,0,0,2,1,3,2,3,8,2,1,3,2,0,6603,2063,NA,"",4143,1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,712,1078,50,75,762,1154,93,14,21,776,1175,NA,54,1687,1468,222,52318,7923,34140,5170,1273,2122,321,2180,330,2316,350,2350,355,NA,NA,NA,NA,NA,NA,NA,NA,0,1062,1,0,0,0,NA,NA,NA,NA,NA,0.02312,NA,33.3,"OECD"
"807",61,"AUT","Austria",1927,84000,32000,NA,NA,NA,NA,NA,NA,NA,30,29,-31,-30,NA,NA,552,725,511,NA,15,NA,-557,225,1825,73,NA,37,267,43,0,443,589,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,1,1,3812,NA,NA,NA,NA,NA,NA,NA,NA,4120,622,3642,549,1406,212,5601,845,2310,3487,550,830,460,694,NA,NA,318,333,349,NA,NA,67,NA,NA,NA,NA,NA,73,165,NA,NA,NA,NA,226,NA,NA,NA,340372,51392,635133,95898,NA,NA,0,NA,NA,NA,NA,NA,NA,24,36,1811,NA,1811,2734,NA,2734,NA,NA,6029,1,0,0,2,1,3,2,3,9,1,0,3,2,1,6623,2069,NA,"",4150,1296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,717,1082,51,77,768,1159,93,14,21,782,1180,NA,51,1593,1506,227,55371,8360,36730,5545,1288,2124,320,2182,329,2319,350,2357,355,NA,NA,NA,NA,NA,NA,NA,NA,1,3812,1,1,1,0,NA,NA,NA,NA,NA,0.02734,NA,33.3,"OECD"
"808",61,"AUT","Austria",1928,84000,32000,NA,NA,NA,NA,NA,NA,NA,30,29,0,-30,NA,NA,519,674,483,NA,15,NA,-583,220,1533,72,NA,55,130,60,476,425,556,NA,NA,-31,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,125,NA,NA,NA,NA,NA,NA,NA,NA,4120,620,NA,NA,1469,221,5928,892,2400,3612,647,973,523,787,NA,NA,317,333,350,NA,NA,67,NA,NA,NA,NA,NA,73,165,NA,NA,NA,NA,226,NA,NA,NA,357918,53878,641700,96597,NA,NA,0,NA,NA,NA,NA,NA,NA,22,33,2095,NA,2095,3153,NA,3153,NA,NA,6029,1,0,0,2,1,3,2,3,9,0,0,3,2,0,6643,2075,NA,"",4156,1298,2374,3821,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,723,1088,52,78,775,1166,93,15,22,790,1189,NA,48,1500,1544,232,58424,8794,39320,5919,1297,2126,320,2184,328,2322,349,2364,355,NA,NA,17,255,19,286,36,541,0,125,0,0,1,0,NA,NA,NA,NA,NA,0.03153,NA,33.3,"OECD"
"809",61,"AUT","Austria",1929,84000,32000,NA,NA,NA,NA,NA,NA,NA,32,34,-31,0,NA,NA,490,625,457,NA,0,259,-420,215,441,70,NA,450,385,446,909,362,516,NA,NA,0,0,-405,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,1,1,0,1,1687,NA,NA,NA,NA,NA,NA,NA,NA,4121,618,NA,NA,1532,229,6255,938,2550,3826,644,966,582,873,NA,NA,317,333,350,NA,NA,67,NA,NA,NA,NA,NA,73,165,NA,NA,NA,NA,226,NA,NA,NA,375465,56342,648267,97278,NA,NA,0,NA,NA,NA,NA,NA,NA,20,30,2194,NA,2194,3292,NA,3292,NA,NA,6029,1,0,1,2,1,3,2,3,9,1,1,3,2,0,6664,2082,NA,"",4155,1298,2278,3666,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,758,1137,54,81,812,1218,93,16,24,828,1242,NA,46,1437,1583,237,61477,9225,41910,6289,1341,2127,319,2186,328,2325,348,2371,355,NA,NA,18,270,19,285,37,555,0,1687,1,0,1,0,NA,NA,NA,NA,NA,0.03292,NA,33.3,"OECD"
"810",61,"AUT","Austria",1930,84000,32000,NA,NA,NA,NA,NA,NA,NA,30,29,-31,-30,NA,NA,465,585,-802,NA,0,234,-215,-1645,419,4,NA,431,247,427,417,-218,-991,NA,NA,0,0,-330,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,562,250,NA,NA,NA,NA,NA,NA,NA,4121,616,3687,551,1498,224,5648,845,2500,3740,476,712,602,900,NA,NA,317,333,350,12,63,67,57,1,10,2254,1,72,165,NA,NA,NA,NA,229,NA,NA,NA,346357,51818,650508,97323,NA,NA,0,NA,NA,NA,NA,NA,NA,19,28,2293,NA,2293,3430,NA,3430,NA,NA,6340,1,0,0,2,1,3,2,3,9,2,2,3,2,1,6684,2088,NA,"",4154,1298,2202,3545,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,793,1186,56,83,849,1270,93,17,25,866,1295,NA,45,1406,1329,198,64530,9654,44500,6657,1657,2129,318,2188,327,2328,348,2378,355,NA,NA,20,299,18,269,38,568,0,562,1,0,0,0,NA,NA,NA,NA,NA,0.0343,NA,33.3,"OECD"
"811",61,"AUT","Austria",1931,84000,32000,NA,NA,NA,NA,NA,NA,NA,31,34,-31,-30,NA,NA,-2024,-3049,-869,NA,0,229,0,-1919,399,-1147,NA,236,361,236,400,-268,-1101,NA,NA,0,0,-1150,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,3,1,1,3187,262,NA,NA,NA,NA,NA,NA,NA,4123,614,NA,NA,1464,218,5043,752,2400,3579,328,489,502,748,NA,NA,317,333,350,NA,NA,67,NA,NA,NA,NA,NA,72,165,NA,NA,NA,NA,229,NA,NA,NA,317250,47315,577668,86154,NA,NA,0,NA,NA,NA,NA,NA,NA,19,28,2392,NA,2392,3567,NA,3567,NA,NA,6340,1,0,0,2,1,3,2,3,9,1,1,3,2,0,6705,2095,NA,"",4154,1298,1949,3137,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,814,1214,58,86,872,1300,93,18,26,890,1327,NA,45,1406,1075,160,51630,7700,31030,4627,1648,2131,317,2190,326,2331,347,2385,355,NA,NA,21,313,18,268,39,581,0,3187,3,0,1,0,NA,NA,NA,NA,NA,0.03567,NA,33.3,"OECD"
"812",61,"AUT","Austria",1932,84000,32000,NA,NA,NA,NA,NA,NA,NA,30,29,0,-30,NA,NA,-4142,-4569,-291,NA,46,482,-220,-437,8,-74,NA,222,349,231,-385,-275,-1237,NA,NA,0,0,-1944,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,562,274,NA,NA,NA,NA,NA,NA,NA,4124,613,NA,NA,1431,212,4437,659,2300,3420,208,309,351,521,NA,NA,317,333,350,NA,NA,68,NA,NA,NA,NA,NA,72,165,NA,NA,NA,NA,229,NA,NA,NA,308908,45934,575097,85516,NA,NA,0,NA,NA,NA,NA,NA,NA,19,28,2401,NA,2401,3570,NA,3570,NA,NA,6340,1,0,0,2,1,3,2,3,9,2,1,3,2,0,6725,2101,NA,"",4175,1304,1570,2527,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,835,1241,60,89,895,1330,93,17,25,912,1356,NA,44,1375,1034,153,30340,4511,16900,2513,1271,2132,317,2192,325,2334,347,2392,355,NA,NA,23,342,18,267,41,609,0,562,1,0,0,0,NA,NA,NA,NA,NA,0.0357,NA,33.3,"OECD"
"813",61,"AUT","Austria",1933,84000,32000,NA,NA,NA,NA,NA,NA,NA,30,29,-31,0,NA,NA,-2893,-1301,-298,NA,7,-33,0,-392,375,-114,NA,89,112,98,-800,-236,-1381,NA,NA,0,0,-961,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,2,2,0,2,5312,286,NA,NA,NA,NA,NA,NA,NA,4126,611,NA,NA,1397,207,3832,568,2390,3543,229,339,280,415,NA,NA,317,333,350,NA,NA,68,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,300567,44561,570232,84541,NA,NA,0,NA,NA,NA,NA,NA,NA,19,28,2499,NA,2499,3704,NA,3704,NA,NA,0,1,0,1,2,1,3,3,1,10,1,0,0,0,0,6745,2107,NA,"",4178,1305,1419,2284,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,845,1252,61,90,906,1343,93,16,23,922,1366,NA,44,1375,993,147,21630,3206,14750,2186,1048,2134,316,2194,325,2337,346,2399,355,NA,NA,24,355,17,252,41,607,2,5312,2,1,2,3,NA,NA,NA,NA,NA,0.03704,NA,33.3,"OECD"
"814",61,"AUT","Austria",1934,84000,32000,NA,NA,NA,NA,NA,NA,NA,15,14,0,0,NA,NA,-59,892,-291,NA,7,231,0,-408,383,-459,NA,104,111,104,-435,531,211,NA,NA,0,30,-774,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,4,1,6,5875,298,NA,NA,NA,NA,NA,NA,NA,4128,611,NA,NA,1477,218,3921,580,2455,3634,313,463,315,466,NA,NA,317,334,349,NA,NA,69,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,292226,43260,544823,80654,NA,NA,0,NA,NA,NA,NA,NA,NA,19,28,2598,NA,2598,3846,NA,3846,NA,NA,0,1,0,1,2,1,3,3,1,13,2,1,0,0,0,6755,2110,NA,"",4181,1306,1309,2107,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,855,1265,62,91,917,1357,93,15,22,932,1379,NA,44,1375,953,141,21530,3187,16090,2381,1044,2136,316,2197,325,2340,346,2406,356,NA,NA,25,370,17,251,42,621,1,5875,4,0,6,0,NA,NA,NA,NA,NA,0.03846,NA,33.4,"OECD"
"815",61,"AUT","Austria",1935,84000,32000,NA,NA,NA,NA,NA,NA,NA,9,9,0,0,NA,NA,565,559,68,NA,-22,242,-232,-425,372,1001,NA,119,330,133,0,-275,224,NA,NA,-31,0,265,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,1,1,2875,310,NA,NA,NA,NA,NA,NA,NA,4129,610,NA,NA,1437,212,4010,593,2600,3845,368,544,371,548,NA,NA,316,334,350,17,66,70,57,2,12,2541,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,294501,43558,599934,88734,NA,NA,0,NA,NA,NA,NA,NA,NA,25,36,2697,NA,2697,3989,NA,3989,NA,NA,0,1,0,0,2,1,3,3,1,9,1,0,0,0,0,6761,2112,NA,"",4171,1303,1344,2163,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,866,1280,64,94,930,1375,93,15,22,945,1397,NA,43,1343,914,135,22770,3367,17000,2514,1058,2137,316,2199,325,2343,346,2413,356,NA,NA,27,399,16,236,43,636,0,2875,2,0,1,0,NA,NA,NA,NA,NA,0.03989,NA,33.4,"OECD"
"816",61,"AUT","Austria",1936,84000,32000,NA,NA,NA,NA,NA,NA,NA,-4,-5,0,0,NA,NA,380,557,81,NA,-23,236,0,-444,371,-91,NA,-250,638,-189,4091,566,219,NA,NA,0,0,-106,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,0,1,1000,322,NA,NA,NA,NA,NA,NA,NA,4131,611,NA,NA,1517,224,4099,606,2680,3965,424,627,369,546,NA,NA,316,334,350,NA,NA,70,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,296777,43914,594185,87923,NA,NA,0,NA,NA,NA,NA,NA,NA,31,45,2796,NA,2796,4137,NA,4137,NA,NA,0,1,0,0,2,1,3,3,1,9,1,0,0,0,0,6758,2111,NA,"",4161,1300,1329,2140,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,844,1248,68,100,912,1349,92,21,31,933,1380,NA,43,1343,875,129,23620,3495,17940,2654,1060,2139,316,2201,325,2346,347,2420,358,NA,NA,28,414,16,236,44,651,0,1000,2,0,1,0,NA,NA,NA,NA,NA,0.04137,NA,33.4,"OECD"
"817",61,"AUT","Austria",1937,84000,32000,NA,NA,NA,NA,NA,NA,NA,-4,-5,0,30,NA,NA,1565,2743,81,NA,-23,445,-230,-465,355,-92,NA,-240,600,-185,3226,268,215,NA,NA,0,0,1135,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,312,334,NA,NA,NA,NA,NA,NA,NA,4133,611,NA,NA,1558,230,4187,619,2890,4278,657,972,429,635,NA,NA,316,334,350,NA,NA,71,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,299052,44271,588436,87111,NA,NA,0,NA,NA,NA,NA,NA,NA,38,56,2894,NA,2894,4284,NA,4284,NA,NA,0,1,0,0,2,1,3,3,1,9,0,0,0,0,0,6755,2110,NA,"",4151,1297,1480,2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,823,1218,72,106,895,1324,91,28,41,923,1366,NA,42,1312,836,123,27310,4042,22850,3382,1057,2141,316,2203,326,2349,347,2427,359,NA,NA,30,444,16,236,46,680,0,312,1,0,0,0,NA,NA,NA,NA,NA,0.04284,NA,33.4,"OECD"
"818",61,"AUT","Austria",1955,84000,32000,NA,NA,NA,NA,NA,NA,NA,324,327,253,429,NA,NA,21465,19633,NA,NA,-2074,42706,NA,16666,6972,-1498,NA,-1207,943,-1035,-2683,37913,11034,NA,NA,-981,1287,13369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,547,671,6797,31,2600,2700,NA,4162,596,NA,NA,7689,1102,9086,1302,10751,15415,1823,2613,1856,2661,35,234,285,377,338,NA,NA,NA,NA,NA,NA,NA,NA,74,165,3,2,2,3,223,10,NA,NA,NA,NA,516454,74054,2883,4133,NA,NA,1817,3647,522,2859,409,9,12,5071,NA,5071,7271,NA,7271,66,1515,5962,1,0,1,2,1,3,2,3,15,0,1,3,2,0,6974,2179,NA,"",3290,1028,3460,5569,4357,7012,6247,1805665,25891,852827,12228,952838,13662,30,747,1071,81,116,828,1187,90,21,30,849,1217,986,NA,NA,2289,328,88700,12718,69900,10022,920,2260,324,2373,340,2527,362,2695,386,3012,431,121,1735,129,1849,250,3584,NA,NA,NA,NA,NA,NA,NA,NA,0.4133,NA,0.1817,0.07271,NA,37.7,"OECD"
"819",61,"AUT","Austria",1956,84000,32000,NA,NA,NA,NA,NA,NA,NA,13,14,-30,-58,1727,1372,967,2131,NA,NA,398,2785,NA,823,645,966,292,-233,86,-194,1333,-390,253,286,726,-350,106,321,58,10,-152,695,402,1488,3870,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,585,698,7809,43,2600,2640,NA,4164,596,4352,623,7396,1059,9324,1335,11718,16780,2078,2975,1936,2772,36,251,275,381,344,NA,NA,NA,NA,NA,NA,NA,NA,82,165,3,2,2,3,201,10,NA,NA,NA,NA,567122,81214,2903,4157,NA,NA,1870,3892,557,3797,543,10,14,5405,NA,5405,7740,NA,7740,67,1492,5502,1,0,0,2,1,3,2,3,18,1,0,3,2,1,6983,2182,NA,"",3423,1069,3571,5748,4553,7328,6520,2086323,29877,1001373,14340,1084950,15537,35,731,1046,82,117,813,1164,89,24,34,837,1198,987,NA,NA,2482,355,97400,13948,84900,12158,950,2261,323,2367,338,2537,363,2696,386,3015,431,176,2520,144,2062,320,4582,NA,NA,NA,NA,NA,NA,NA,NA,0.4157,NA,0.187,0.0774,NA,38.1,"OECD"
"820",61,"AUT","Austria",1957,84000,32000,NA,NA,NA,NA,NA,NA,NA,20,18,0,-29,1864,1506,1558,1508,NA,NA,392,2163,NA,169,671,85,278,-220,85,-198,1176,-415,644,-278,80,-327,104,267,48,0,0,650,387,952,2790,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,623,725,8553,55,2600,2600,NA,4342,620,NA,NA,7103,1015,9947,1421,12463,17811,2509,3585,2129,3042,35,253,266,385,349,NA,NA,NA,NA,NA,NA,NA,NA,82,165,3,2,2,3,201,10,NA,NA,NA,NA,573113,81908,2923,4177,NA,NA,1922,4102,586,6255,893,11,15,5779,NA,5779,8259,NA,8259,67,1492,5502,1,0,0,2,1,3,2,3,18,0,0,3,2,0,6997,2186,NA,"",3557,1111,3667,5902,4717,7592,6741,2441362,34891,1190458,17013,1250904,17877,50,716,1023,83,118,799,1141,89,27,38,826,1180,987,NA,NA,2531,361,112800,16121,97900,13991,997,2263,323,2361,337,2547,364,2697,385,3018,431,231,3301,159,2272,390,5573,NA,NA,NA,NA,NA,NA,NA,NA,0.4177,NA,0.1922,0.08259,NA,38.5,"OECD"
"821",61,"AUT","Austria",1958,84000,32000,NA,NA,NA,NA,NA,NA,NA,34,37,-30,-59,1681,1942,-512,-655,NA,NA,378,1755,NA,-1135,610,588,276,-10,0,-9,1579,-453,-296,-286,79,-375,77,482,33,10,-147,626,372,1405,2181,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,662,752,9755,67,2600,2590,NA,4519,643,NA,NA,6810,969,9688,1379,13559,19312,2393,3408,2154,3067,34,255,256,388,356,NA,NA,NA,NA,NA,NA,NA,NA,82,165,3,2,2,3,201,10,NA,NA,NA,NA,608917,86727,2943,4191,NA,NA,1975,3234,460,7645,1088,12,17,6153,NA,6153,8763,NA,8763,68,1470,5502,1,0,0,2,1,3,2,3,18,0,0,3,2,0,7021,2194,NA,"",3691,1153,3844,6187,4237,6819,6034,2894231,41222,1395308,19873,1498923,21349,51,718,1022,83,118,801,1140,89,31,44,832,1185,988,NA,NA,2251,320,107400,15296,91800,13075,985,2264,322,2356,335,2557,364,2698,384,3021,430,286,4073,174,2478,460,6551,NA,NA,NA,NA,NA,NA,NA,NA,0.4191,NA,0.1975,0.08763,NA,38.8,"OECD"
